Ticker,Gsector
A,Healthcare
AA,Basic Materials
AAL,Industrials
AAME,Financial Services
AAN,Industrials
AAOI,Technology
AAON,Industrials
AAP,Consumer Cyclical
AAPL,Technology
AAT,Real Estate
ABBV,Healthcare
ABCB,Financial Services
ABEO,Healthcare
ABG,Consumer Cyclical
ABIO,Healthcare
ABM,Industrials
ABMD,
ABR,Real Estate
ABT,Healthcare
AC,Financial Services
ACA,Industrials
ACAD,Healthcare
ACCO,Industrials
ACGL,Financial Services
ACHC,Healthcare
ACHV,Healthcare
ACIW,Technology
ACLS,Technology
ACM,Industrials
ACMR,Technology
ACN,Technology
ACNB,Financial Services
ACOR,Healthcare
ACRE,Real Estate
ACRS,Healthcare
ACTG,Industrials
ACU,Consumer Defensive
ADBE,Technology
ADC,Real Estate
ADI,Technology
ADM,Consumer Defensive
ADMA,Healthcare
ADNT,Consumer Cyclical
ADP,Industrials
ADSK,Technology
ADT,Industrials
ADTN,Technology
ADUS,Healthcare
ADVM,Healthcare
ADXS,Healthcare
AE,Energy
AEE,Utilities
AEHR,Technology
AEIS,Industrials
AEL,Financial Services
AEMD,Healthcare
AEO,Consumer Cyclical
AEP,Utilities
AES,Utilities
AFG,Financial Services
AFL,Financial Services
AGCO,Industrials
AGE,Healthcare
AGEN,Healthcare
AGIO,Healthcare
AGM,Financial Services
AGNC,Real Estate
AGO,Financial Services
AGR,Utilities
AGRX,Healthcare
AGS,Consumer Cyclical
AGX,Industrials
AGYS,Technology
AHH,Real Estate
AHT,Real Estate
AIG,Financial Services
AIN,Consumer Cyclical
AINC,Financial Services
AIR,Industrials
AIRG,Technology
AIRI,Industrials
AIRT,Industrials
AIT,Industrials
AIV,Real Estate
AIZ,Financial Services
AJG,Financial Services
AJX,Real Estate
AKAM,Technology
AKBA,Healthcare
AKR,Real Estate
AKTS,Technology
AL,Industrials
ALB,Basic Materials
ALCO,Consumer Defensive
ALDX,Healthcare
ALE,Utilities
ALEC,Healthcare
ALEX,Real Estate
ALG,Industrials
ALGN,Healthcare
ALGT,Industrials
ALIM,Healthcare
ALK,Industrials
ALKS,Healthcare
ALL,Financial Services
ALLE,Industrials
ALLK,Healthcare
ALLO,Healthcare
ALLY,Financial Services
ALNY,Healthcare
ALOT,Technology
ALPN,Healthcare
ALRM,Technology
ALSN,Consumer Cyclical
ALT,Healthcare
ALTM,Basic Materials
ALTR,Technology
ALV,Consumer Cyclical
ALX,Real Estate
AM,Energy
AMAL,Financial Services
AMAT,Technology
AMBC,Financial Services
AMC,Communication Services
AMCX,Communication Services
AMD,Technology
AME,Industrials
AMED,Healthcare
AMG,Financial Services
AMGN,Healthcare
AMH,Real Estate
AMKR,Technology
AMN,Healthcare
AMNB,Financial Services
AMP,Financial Services
AMPE,Healthcare
AMPH,Healthcare
AMRC,Industrials
AMRK,Financial Services
AMRX,Healthcare
AMS,Healthcare
AMSC,Industrials
AMSF,Financial Services
AMSWA,Technology
AMT,Real Estate
